BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
BaseClassTest: INFO     This is instance Test.
BaseClassTest: INFO     This is Attribute Test.
BaseClassTest: INFO     This is class method Test.
Google      : INFO     Entering IBAN.
Google      : INFO     Entering SWIFT Code.
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4201827402500201649359
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ASAUESMMXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES6401827402510201649496
Google      : INFO     Entering SWIFT Code.
Google      : INFO     AXIPESBBXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4901827402570201649472
Google      : INFO     Entering SWIFT Code.
Google      : INFO     AXIPESBBXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4901827402570201649472
Google      : INFO     Entering SWIFT Code.
Google      : INFO     DSGLESBBXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Logging..
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Login Successfully!
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4901827402570201649472
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ABGOESSEXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES6401827402510201649496
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ACORESMMXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4101827402580201649373
Google      : INFO     Entering SWIFT Code.
Google      : INFO     AXIPESBBMPS
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4201827402500201649359
Google      : INFO     Entering SWIFT Code.
Google      : INFO     CGDIESMMXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Banks Added..
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4901827402570201649472
Google      : INFO     Entering SWIFT Code.
Google      : INFO     CGDIESMM
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES5101827402510201649342
Google      : INFO     Entering SWIFT Code.
Google      : INFO     AXIPESBBXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES9201827402510201649380
Google      : INFO     Entering SWIFT Code.
Google      : INFO     DSGLESBBXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES5101827402510201649342
Google      : INFO     Entering SWIFT Code.
Google      : INFO     AXIPESBBMPS
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Banks Added..
Google      : INFO     Closing Session...
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Need to bypass this.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 7
Google      : INFO     Remaining Banks: 6 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 6
Google      : INFO     Remaining Banks: 5 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 5
Google      : INFO     Remaining Banks: 4 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 4
Google      : INFO     Remaining Banks: 3 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 3
Google      : INFO     Remaining Banks: 2 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 2
Google      : INFO     Remaining Banks: 1 To remove.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 1
Google      : INFO     Remaining Banks: 0 To remove.
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES9601827402510201649502
Google      : INFO     Entering SWIFT Code.
Google      : INFO     CGDIESMMXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES5701827402530201649427
Google      : INFO     Entering SWIFT Code.
Google      : INFO     BCDMESMM
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Banks Added..
Google      : INFO     Closing Session...
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4201827402500201649359
Google      : INFO     Entering SWIFT Code.
Google      : INFO     CGDIESMM
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES5901827402500201649441
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ABIRESBBXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES4201827402500201649359
Google      : INFO     Entering SWIFT Code.
Google      : INFO     BCDMESMM
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES9601827402510201649502
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ABIRESBBXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Switching to main iframe.
Google      : INFO     Banks Added..
Google      : INFO     Closing Session...
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Login Successfully!
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES5101827402510201649342
Google      : INFO     Entering SWIFT Code.
Google      : INFO     ABIRESBBXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Banks Added..
Google      : INFO     Closing Session...
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Logging..
Google      : INFO     Logging..
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.105.234.231:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop10
Google      : INFO     Entering Password: gX3YZvgYeA
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Bypassing Mail Confirmation Challenge.
Google      : INFO     Entering Username.
Google      : INFO     Login Successfully!
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES9201827402510201649380
Google      : INFO     Entering SWIFT Code.
Google      : INFO     CGDIESMMXXX
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Switching to main iframe.
Google      : INFO     Using Proxy from File.
Google      : INFO     Proxy: 185.105.232.172:58542
Google      : INFO     Authenticating proxy.
Google      : INFO     Opening proxy extension url.
Google      : INFO     Entering Username: ramollop10
Google      : INFO     Entering Password: gX3YZvgYeA
Google      : INFO     Clicking save.
Google      : INFO     Done!
Google      : INFO     Logging..
Google      : INFO     Entering Username.
Google      : INFO     Entering Password.
Google      : INFO     Deleting Banks.
Google      : INFO     Waiting for iframe..
Google      : INFO     Total Banks: 0
Google      : INFO     Banks Deleted.
Google      : INFO     Adding Banks..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES9501827402560201650148
Google      : INFO     Entering SWIFT Code.
Google      : INFO     BBSGESM1
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add a bank account.
Google      : INFO     Entering Username.
Google      : INFO     Entering IBAN.
Google      : INFO     ES3901827402560201650186
Google      : INFO     Entering SWIFT Code.
Google      : INFO     BBVAESMMBA2
Google      : INFO     Submitting..
Google      : INFO     Switching to bank verification iframe.
Google      : INFO     Terms..
Google      : INFO     Clicking Save..
Google      : INFO     Clicking Got it.
Google      : INFO     Saving Data..
Google      : INFO     Saved!
Google      : INFO     Switching to main iframe.
Google      : INFO     Clicking on add payments..
